provide,"[동] 제공하다, 공급하다, 준비하다"
furthermore,"[부] 더욱이, 게다가"
excess,"[명] 초과, 과다"
command,"[동] 명령하다, 지휘하다[동] 명령, 지휘"
ecosystem,[명] 생태계
fame,[명] 명성
oral,[형] 입의[명] 구술시험
drift,"[명] 표류, 일반적인 경향[동] 떠돌다, 방황하다"
outstanding,"[형] 뛰어난, 눈에 띄는"
mislead,[동] 잘못 판단하게 하다
dedicate,"[동] (시간, 노력을) 바치다"
avoid,"[동] 피하다, 방지하다"
initial,"[형] 초기의, 처음의
[명] 머리글자 (이니셜)"
sink,[동] 가라앉다
beard,[명] 턱수염
haste,[명] 서두름
crush,"[동] 으스러뜨리다, 빻다"
confront,"[동] 맞서다, 직면하다"
destiny,[명] 운명
hardship,"[명] 고난, 고통"
escape,"[동] 탈출하다, 벗어나다
[명] 탈출, 도피"
valid,"[형] 타당한, 유효한"
entire,"[형] 전체의, 완전한
[명] 전부, 전체"
dispose,"[동] 배치하다, 처리하다"
optimal,[형] 최적의
hydrogen,[명] 수소
thread,"[명] 실
[동] 실을 꿰다"
dynasty,[명] 왕조
scatter,"[동] 뿌리다, 흩어지다"
gamble,"[동] 돈을 걸다, 도박을 하다
[명] 도박"
temper,"[명] 성질, 기분"
exist,"[동] 존재하다, 살아가다"
undoubtedly,"[부] 의심할 여지없이, 확실히"
raft,"[명] 뗏목, 비닐보트"
minimal,"[형] 최소의, 아주 적은"
soak,[동] 흠뻑 적시다
craft,"[명] 공예, 기술
[동] 공들여 만들다"
combat,"[명] 전투
[동] 싸우다"
cease,[동] 중단하다
ceiling,"[명] 천장, 최고 한도"
unify,"[동] 통합하다, 통일하다"
perspective,"[명] 견해, 관점"
doom,"[명] 나쁜 운명
[동] 운명 짓다"
bump,[동] 부딫치다
primary,"[형] 주된, 초기의"
genre,"[명] 형식, 장르"
erase,[동] 지우다
review,"[동] 복습하다, 재검토하다
[명] 복습, 검토, 비평"
vital,"[형] 필수적인, 중요한, 생명 유지와 관련된"
incident,"[명] 사건, 일어난 일[형] 일어나기 쉬운"
session,"[명] 시간, 회의, 기간, 학기"
obvious,"[형] 분명한, 명백한"
moderate,"[형] 온건한, 적당한"
budget,"[명] 예산, 예산안"
graze,"[동] 풀을 뜯다, 방목하다"
fragile,[형] 부서지기 쉬운
myth,"[명] 신화, 사회적 통념"
fur,"[명] 부드러운 털, 모피"
indifferent,[형] 무관심한
strain,"[명] 긴장, 압박[동] 잡아당기다, 긴장시키다, 혹사하다"
ingredient,"[명] 재료, 성분"
dismiss,"[동] 묵살하다, 해고하다, 해산시키다"
geometry,[명] 기하학
glacier,[명] 빙하
urge,"[동] 촉구하다, 강요하다"
celebrity,"[명] 유명 인사, 명성"
antique,"[형] 고대의, 옛날의, 고풍의[명] 골동품"
profit,"[명] 이익, 이윤[동] 이익을 얻다"
sphere,"[명] 구, 구체"
inherit,"[동] 상속받다, 물려받다"
disgrace,"[명] 불명예, 수치"
crawl,"[동] 기어가다, 서행하다[명] 기어가기, 서행"
scratch,"[동] 긁다, 할퀴다[명] 긁힌 자국, 찰과상"
diabetes,[명] 당뇨병
congestion,"[명] 혼잡, 밀집"
constitute,"[동] 구성하다, 설립하다, 제정하다"
flow,[명] 흐름[동] 흐르다
investigate,"[동] 조사하다, 수사하다"
barter,"[명] 물물 교환, 교역품[동] 물물 교환하다"
circular,"[형] 원의, 순환의"
chilly,"[형] 쌀쌀한, 냉담한"
ancestor,"[명] 조상, 선조"
fierce,"[형] 사나운, 맹렬한"
vague,"[형] 희미한, 막연한, 모호한"
rough,"[형] 거친, 난폭한, 대강의"
content,"[명] 내용, 목차[형] 만족하는"
obstacle,"[명] 장애물, 방해가 되는 것"
editorial,"[형] 편집자의[명] 사설, 논설"
abolish,[동] 폐지하다
assure,"[동] 확실하게 하다, 보증하다"
form,"[명] 형태, 종류[동] 형성하다"
gender,"[명] 성, 성별"
innovation,[명] 혁신
opponent,"[명] 상대, 반대자[형] 반대하는"
present,"[형] 현재의[명] 현재, 선물[동] 제출하다 나타내다"
fertile,"[형] 비옥한, 기름진"
emperor,[명] 황제
dwell,"[동] 거주하다, 살다"
chore,"[명] 허드렛일, 집안일"
rehearsal,"[명] 리허설, 예행연습"
fossil,[명] 화석
glitter,[동] 반짝이다 [명] 반짝임
carve,"[동] 새기다, 조각하다"
decay,"[동] 부패하다, 쇠퇴하다[명] 부패, 쇠퇴"
protein,[명] 단백질
backward,[부] 뒤쪽으로 후방에 거꾸로
translate,"[동] 번역하다, 옮기다"
refresh,"[동] 상쾌하게 하다, 새롭게 하다"
tissue,[명] (생물) 조직
lord,[명] 군주
substitute,"[동] 대체하다[명] 대리자, 대체물"
scan,"[동] 정밀 검사하다, 유심히 쳐다보다"
pottery,"[명] 도자기, 도예"
layer,"[명] 층, 겹"
property,"[명] 재산, 소유물 , 부동산"
justify,[동] 정당화하다
polish,"[동] 닦다, 윤을 내다, (문장 등을)다듬다"
flavor,[명] 맛동사 맛을 내다
imprint,"[동] 찍다 감명시키다명사 찍은 자국, 인상"
heritage,"[명] 유산, 세습 재산"
strive,"[동] 노력하다, 애쓰다 , 투쟁하다"
radiant,"[형] 빛나는, 아주 밝은"
exclaim,[동] (감탄하며)외치다
asset,"[명] 자산, 재산"
portray,"[동] 묘사하다, 설명하다, 초상을 그리다"
administer,"[동] 관리?운영하다, 집행하다, 주다"
wage,[명] 급료
subscribe,[동] 정기 구독하다
architecture,"[명] 건축학, 건축 양식"
territory,"[명] 영토, 영역"
strategy,"[명] 전략, 계획"
hence,"[부] 그러므로, 향후"
panic,"[형] 당황한
[명] 공황"
wilderness,[명] 황무지
attract,"[동] 끌다, 매혹하다"
category,"[명] 부류, 종류"
murder,"[동] 죽이다
[명] 살인"
funeral,"[명] 장례식
[형] 장례의"
humiliation,"[명] 창피 줌, 굴욕"
ban,"[동] 금지하다
[명] 금지"
flush,"[동] 물로 씻어내리다, (얼굴이) 붉어지다
[명] 물로 씻어냄, 홍조"
omit,[동] ~을 생략하다
outcome,[명] 결과
despair,"[명] 절망
[동] 절망하다"
alert,"[형] 조심하는
[동] 경고하다
[명] 경계"
compact,"[형] 아담한, 빽빽한
[명] 계약, 협정"
likewise,[부] 마찬가지로
astonish,[동] 깜짝 놀라게 하다
optimistic,[형] 낙천적인
loyal,[형] 충성스러운
humid,[형] 습한
pretend,[동] ~인 척하다
graduate,"[동] 졸업하다
[명] 졸업생"
delicate,"[형] 연약한, 섬세한, 미묘한"
inflate,"[동] 부풀리다, 과장하다, (가격을) 올리다"
adequate,[형] 적절한
physician,[명] 의사
joint,"[명] 관절
[형] 공동의"
via,"[전] ~을 경유해서, ~을 매개로 하여"
passage,"[명] 통로, (책의) 구절"
prefer,[동] ~을 좋아하다
vessel,"[명] 선박, 용기"
restore,[동] 이전상태로 회복시키다
passive,"[형] 소극적인,수동적인"
experience,"[명] 경험
[동] 경험하다"
marble,[명] 대리석
classify,[동] 분류하다
fundamental,"[형] 근본적인, 필수의"
majesty,"[명] 위엄, 장엄, 왕(M-)"
intimate,"[형] 친밀한, 친숙한"
merit,"[명] 장점, 가치"
launch,"[동] 시작하다, 출시하다
[명] 발사, 출시"
conference,[명] 회의
reception,"[명] 접수처, 환영연회"
shrug,"[동] 어깨를 으쓱하다
[명] 어깨를 으쓱하기"
vicious,"[형] 악랄한, 타락한"
cherish,[동] 소중히 하다
accuse,"[동] 고발하다, 비난하다"
eternal,[형] 영원한
shrink,"[동] 줄어들다, 피하다"
colleague,[명] 동료
transmit,"[동] 보내다, 전염시키다, 전도하다"
copper,"[명] 구리
[형] 구리의, 구릿빛의"
orbit,"[명] 궤도
[동] 궤도를 그리며 돌다"
overwhelm,"[동] 압도하다, 당황하게 하다"
discard,"[동] 폐기하다, 버리다, 처분하다"
famine,"[명] 기근, 굶주림, 기아"
pill,[명] 알약
enhance,[동] 강화하다
immune,"[형] 면역의, 면역성이 있는"
superior,"[형] 뛰어난, 눈에 띄는"
string,"[명] 끈
[동] 끈을 달다"
cope,[동] 대처하다
raw,"[형] 날것의, 가공하지 않은"
apply,"[동] 지원하다, 적용되다"
cattle,[명] 소
loan,"[동] 빌려주다
[명] 대여, 융자금"
obedient,"[형] 유순한, 순종하는"
procedure,"[명] 절차, 수술"
bond,"[명] 유대, 속박
[동] 유대를 맺다"
angle,"[명] 각도, 각
[동] 비스듬히 움직이다"
subtle,"[형] 미묘한, 교묘한, 예민한"
depict,"[동] 묘사하다, 그리다"
radical,"[형] 근본적인, 급진적인"
therapy,[명] 치료법
caution,"[명] 조심, 경고
[동] 경고하다"
persist,"[동] 고집하다, 지속하다"
reverse,"[동] 뒤집다, 후진하다
[형] 반대의
[명] 반대, 후진"
support,"[명] 떠받치, 지지
[동] 지지하다, 후원하다"
mammal,[명] 포유동물
iceberg,[명] 빙산
monetary,[형] 화폐의
revise,"[동] 개정하다, 수정하다"
resent,"[동] 분개하다, 화를 내다"
superb,[형] 매우 뛰어난
abrupt,"[형] 갑작스런, 퉁명스러운"
diverse,[형] 다양한
internal,"[형] 내부의, 체내의"
gloom,"[명] 우울, 어둠"
refine,"[동] 개선하다, 정제하다"
dynamic,"[형] 역동적인, 활발한"
nerve,[명] 신경
prompt,"[형] 신속한, 즉각적인
[동] 촉발하다, 자극하다"
suspend,"[동] 일시 중지하다, 보류하다, 정직(정학)시키다"
control,"[동] 통제하다, 지배하다
[명] 통제, 지배"
distraction,[명] 집중을 방해하는 것
collapse,"[동] 무너지다, (가격이) 폭락하다"
monologue,[명] 독백
martial,"[형] 군대의, 전쟁의"
deliberate,"[형] 고의의, 신중한"
trigger,"[동] 작동시키다, 촉발시키다
[명] 방아쇠, 계기"
plot,"[명] 줄거리, 음모
[동] 음모를 꾸미다"
rod,"[명] 막대, 낚싯대"
Atlantic,"[명] 대서양
[형] 대서양의"
industry,[명] 산업
weird,"[형] 이상한, 괴상한"
suggest,"[동] 제안하다, 암시하다"
partial,"[형] 부분적인, 편파적인"
priceless,[형] 대단히 소중한
mutual,"[형] 상호 간의, 공동의"
fate,[명] 운명
booth,[명] 작은 공간
pursue,[동] 추구하다
prescribe,"[동] 처방하다, 규정하다"
erupt,[동] (화산이) 폭발하다
insult,"[동] 모욕하다
[명] 모욕, 모욕적인 말"
gaze,"[동] 응시하다
[명] 응시"
supreme,"[명] 최고
[형] 최고의"
transaction,"[명] 거래, 매매"
sufficient,[형] 충분한
stable,"[형] 안정된
[명] 마구간"
sympathy,"[명] 연민, 동의"
by-product,[명] 부산물
edible,[형] 먹을 수 있는
federal,"[형] 연방의, 연방 정부의"
bud,"[명] 싹, 봉오리, 친구"
trivial,[형] 사소한
anxiety,"[명] 걱정, 불안, 열망"
tablet,[명] 알약
prepare,[동] 준비하다
trade,"[명] 무역하다, 교환하다"
liquid,"[명] 액체
[형] 액체의, 유동적의"
contend,"[동] 싸우다, 주장하다"
outlook,"[명] 전망, 경치, 견해"
roam,"[동] 배회하다, 돌아다니다"
decent,"[형] 괜찮은, 예의 바른, 적절한"
concern,"[명] 걱정, 관심
[동] 걱정하다, 관심을 갖다"
behalf,"[명] 측, 편, 이익"
suffer,"[동] 고통 받다, 겪다"
distortion,"[명] 왜곡, 찌그러뜨림"
infinite,[형] 무한한
anticipate,"[동] 예상하다, 기대하다"
symbolic,[형] 상징적인
municipal,[형] 지방 자치제의
phenomenon,[명] 현상
devote,"[동] (시간, 노력)쏟다"
peasant,[명] 소작농
tenant,[명] 세입자
worthwhile,[형] 가치있는
pavement,[명] 포장도로
dioxide,[명] (화학)이산화물
diminish,"[동] 줄이다, 약화시키다"
jealous,"[형] 질투하는, 시기하는"
limp,"[형] 기운이 없는, 축 처진"
exclude,"[동] 제외하다, 차단하다"
flexible,"[형] 융통성 있는, 잘 구부러지는"
nominate,[동] 지명하다
sacred,"[형] 성스러운, 종교적인"
context,[명] 맥락
complete,[형] 완벽한[동] 완료하다
race,"[명] 경주, 인종[동] 경주하다"
dominate,[동] 지배하다
vehicle,[명] 탈것
complain,[동] 불평하다
brochure,[명] 브로셔
force,[명] 힘[동] 강요하다
nest,[명] 둥지
gain,[동] 얻다
curriculum,[명] 교육 과정
sew,[동] 바느질하다
masculine,[형] 남자의
frown,[동] 눈살을 찌푸리다[명] 찡그린 얼굴
astound,[동] 놀라게 하다
dictator,[명] 독재자
assessment,[명] 평가
crucial,"[형] 중대한, 결정적인"
paralysis,[명] 마비
deck,[명] (배의) 갑판
cheer,[명] 환호[동] 환호하다
miserable,[형] 비참한
tease,[동] 괴롭히다
aggressive,[형] 공격적인
cure,[동] 치료하다[명] 치료
attribute,[동] ~의 결과로 여기다[명] 속성
foster,[동] 육성하다
phychologist,[명] 심리학자
postpone,[동] 연기하다
rob,"[동] 강탈하다, 훔치다"
abuse,"[동] 남용하다, 학대하다[명] 남용, 학대"
unemployed,[형] 실업의
breakdown,"[명] 고장, 쇠약"
disguise,"[동] 숨기다, 변장"
blueprint,[명] 청사진
rear,[형] 뒤의[명] 뒤[동] 기르다
output,[명] 생산량
sermon,[명] 설교
sprout,[동] 싹이 트다. 싹
tin,"[명] 주석, 양철"
reform,"[동] 개혁하다[명] 개혁,"
deal,[동] 다루다[명] 거래
recruit,[동] 모집하다[명] 신병
maintain,[동] 유지하다
workshop,"[명] 작업장, 워크숍"
patient,[명] 환자
convention,"[명] 총회, 관습"
devastate,[동] 황폐시키다
reap,[동] 수확하다
overlook,"[동] 간과하다, 내려다보다"
deliver,"[동] 배달하다, (연설을)하다"
reject,"[동] 거부하다, 거절하다"
nourish,"[동] 영양분을 주다, 기르다"
bay,[명] 만
stun,[동] 놀라게 하다
particular,[형] 특정한
bulletin,[명] 게시(물)
fluid,[형] 유동성의[명] 유동체
affair,"[명] 일, 사건"
dawn,"[명] 새벽, 시작[동] 날이 새다"
hostile,[형] 적대적인
respect,"[동] 존경하다, (법 등을) 준수하다[명] 존경, 측면"
await,[동] 기다리다
concrete,[형] 구체적인
lease,[동] 임대하다[명] 임대차 계약
racial,[형] 인종의
variable,"[형] 변수. 변하기 쉬운, 변덕스러운"
satisfy,[동] 만족시키다
rule,"[명] 규칙, 지배[동] 지배하다"
perseverance,[명] 인내심
fatal,[형] 치명적인
remove,"[동] 제거하다, 치우다"
invert,[동] 거꾸로 하다
tension,[명] 긴장
reign,"[명] 통치, 지배"
crack,[명] 금이 가다[명] (갈라진 틈
startle,[동] 깜짝 놀라게 하다
discourage,"[동] 낙담시키다, 말리다"
compensate,[동] 보상하다
convert,"[동] 전환시키다, 바꾸다"
strike,[동] 치다
suppress,"[동] 억압하다, 참다"
core,[명] 핵심(의)
contribute,[동] 공헌하다
spear,[명] 창
renowned,[형] 명성 있는
era,[명] 시대
withdraw,[동] 인출하다
immigrate,[동] 이주하다
dignity,[명] 존엄
notify,"[동] 통보하다, 알리다"
animate,[동] 생기를 불어넣다 [형] 살아 있는
prevent,"[동] 예방하다, 막다"
bilingual,[형] 2개 국어의
mischief,"[명] 장난, 해악"
discriminate,"[동] 차별하다, 구별하다"
exemplify,[동] 예시하다
adhere,[동] 고수하다
judge,[동] 판단하다
peculiar,[형] 독특한
sake,"[명] 위함, 목적"
choke,[동] 질식시키다
folktale,"[명] 민간 설화, 전설"
simultaneously,[부] 동시에
range,[명] 범위
groom,[명] 신랑
supernatural,[형] 초자연적인
tender,[형] 부드러운
instinct,[명] 본능
gigantic,[형] 거대한
meditate,[동] 명상하다
mow,[동] (풀을) 베다
evolve,"[동] 진화하다, 발전하다"
chase,"[동] 추격하다, 쫓다"
afflict,[동] 괴롭히다
literate,[형] 읽고 쓸 수 있는
coherent,"[형] 통일성 있는, 조리 있는"
intolerable,참을 수 없는
fountain,[명] 분수
bold,"[형] 대담한, 선이 굵은"
compliment,[동] 칭찬하다[명] 칭찬
summit,[명] 정상
troop,"[명] 무리, 군대"
alter,"[동] 바꾸다, 변경하다"
conceive,[동] 생각해 내다
durability,내구성
destroy,[동] 파괴하다
shallow,"[형] 얕은, 피상적인"
face,"[명] 얼굴, 표면[동] 직면하다"
weep,[동] 울다
grasp,[동] 붙잡다
overall,"[형] 전반적인, 전체의"
superstition,[명] 미신
colony,[명] 식민지
absurd,"[형] 불합리한, 우스꽝스러운"
dormitory,[명] 기숙사
prone,[형] ~하는 경향이 있는
conceal,[동] 숨기다
retreat,[동] 후퇴하다[명] 후퇴
compulsive,"강제적인, 강박의"
clinic,"[명] 전문 병원, 개인 병원"
banner,[명] 현수막
formulate,"[동] 만들어내다, 공식화하다"
vow,[명] 맹세(하다)
malnutrition,영양실조
relate,[동] 관련시키다
undergo,[동] 겪다
boast,[동] 자랑하다
neutral,[형] 중립의
stain,[명] 얼룩
incentive,"[명] 장려책, 자극"
float,"[동] 뜨다, 떠다니다"
tendency,[명] 경향
applause,[명] 박수갈채
wrestle,"[동] 싸우다, 씨름하다"
sensation,"[명] 감각, 느낌"
Confucian,"공자의, 유교의"
diameter,[명] 지름
ultrasound,[명] 초음파
propriety,"[명] 적절성, 예의바름"
anecdote,[명] 일화
shrub,[명] 관목
pledge,"[명] 서약, 담보
[동] 서약하다"
cost,"[명] 가격, 비용
[동] (가격, 비용이) 들다"
geology,[명] 지질학
detect,"[동] 찾아내다, 감지하다"
temperate,"[형] 절제하는, (기후가) 온화한"
soar,"[동] 급등하다, 날아오르다"
mock,"[동] 놀리다, 조롱하다
[형] 가짜의, 모조의"
disclose,"[동] 폭로하다, 드러내다"
exhibit,"[동] 전시하다
[명] 전시품"
symptom,"[명] 증상, 증후"
manage,"[동] 경영하다, 관리하다, 간신히 해내다"
awkward,"[형] 어색한, 서투른, 다루기 힘든"
grind,[동] 갈다
expose,"[동] 노출시키다, 폭로하다"
closet,[명] 벽장
damp,[형] 축축한
script,[명] 대본
possibility,"[명] 가능성, 기회"
fad,[명] (일시적인) 유행
sibling,"[명] 형제, 자매"
linger,"[동] 남아 있다, 어슬렁거리다"
flourish,"[동] 번성하다, 건강하다"
discharge,"[동] 해고하다, 방출하다, 방면하다
[명] 해고, 방출, 면제"
thorough,[형] 철저한
undertake,"[동] 착수하다, 약속하다"
cord,"[명] 끈, 전기코드, (직물)코르덴 천
[형] 코르덴 천으로 만들어진"
linguistic,"[형] 언어의, 언어학의"
remedy,[명] 치료
sole,"[형] 유일한, 단독의"
sophomore,"[명] (고교, 대학의) 2학년생"
panel,[명] 판
suitor,"[명] 소송인, 구혼자"
pillar,[명] 기둥
explode,[동] 폭발하다
illusion,"[명] 착각, 환각"
draft,"[명] 초고, 초안
[동] 초안을 그리다"
crude,"[형] 조잡한, 있는 그대로의"
supplement,"[동] 보완하다
[명] 보완, 보충"
velocity,[명] 속도
tame,"[동] 길들이다
[형] 길들여진"
molecule,[명] 분자
reed,"[명] 갈대
[형] 갈대의"
dismay,"[명] 실망
[동] 크게 실망시키다"
diagnose,[동] 진단하다
versus,[전] ~와 대비하여
reservoir,[명] 저수지
conform,"[동] 따르다, 순응하다"
spacious,"[형] 넓은, 훤히 트인"
weave,"[동] (천을) 짜다
[명] 짜기"
ceremony,"[명] 의식, 식"
motive,"[명] 동기, 이유"
prominent,[형] 두드러진
archaeology,[명] 고고학
rigid,"[형] 엄격한, 굳은"
inferior,"[형] 열등한, 질 낮은"
subtract,[동] 빼다
impulse,"[명] 충동, 욕구, 추진력"
utmost,"[형] 최대한의 
[명] 최대한도"
proficient,[형] 숙달된
accumulate,"[동] 모으다, 축적하다"
navigate,"[동] 길을 찾다, 항해하다"
equity,"[명] 자기자본, 공평"
violate,"[동] 위반하다, 침해하다"
ambitious,[형] 야망을 가진
intact,"[형] 온전한, 손상되지 않은"
plea,"[명] 애원, 탄원"
attend,"[동] 참석하다, 유의하다, 돌보다"
trim,"[동] 다듬다
[형] 잘 정돈된
[명] 정돈"
embody,"[동] 구체화하다, 포함하다"
characteristic,"[명] 특징, 특성
[형] 특유의"
consist,[동] ~로 구성되다
boundary,"[명] 경계, 한계"
attack,"[동] 공격하다
[명] 공격"
confine,"[동] 제한하다, 가두다"
dispatch,"[명] 급파, 발송
[동] 파견하다, 발송하다"
regret,[동] 후회하다[명] 후회
coffin,[명] 관
divine,[형] 신성한
revenue,[명] 수익
corrupt,"[형] 부패한, 타락한[동] 부패하다, 타락하다"
probe,"[동] 조사하다, 연구하다[명] 조사"
factual,[형] 실제의
swamp,"[명] 늪, 습지"
expedition,[명] 탐험
abnormal,"[형] 이상한, 비정상의"
storage,"[명] 저장소, 저장"
revive,[동] 되살아나다
stool,[명] (등받이 없는) 의자
hinder,[동] 방해하다
flattery,[명] 아첨
virtue,[명] 미덕
deadline,"[명] 기한, 마감시간"
equator,n.적도
cognitive,[형] 인식의
motion,"[명] 운동, 동작[동] 동작을 해 보이다"
humble,"[형] 겸손한, 비천한"
bounce,"[동] 튀어 오르다, 깡충깡충 뛰다, (공이) 튀다"
imprison,[동] 투옥하다
enlist,[동]모집하다
hygiene,"[명] 위생, 위생학"
upcoming,[형] 다가오는
trace,"[명] 자취, 흔적[동] 추적하다, 밝혀내다"
pulse,[명] 맥박
controversy,"[명] 논쟁, 언쟁, 논란"
locate,"[동] (장소를) 찾아내다, -에 위치하다"
patent,[명] 특허[형] 특허를 받은[동] 특허권을 얻다
convenience,"[명] 편의, 편리, 편의시설"
rush,"[동] 돌진하다, 급하게 가다[명] 돌진, 혼잡"
carbon,[명] 탄소
contaminate,"[동] 오염시키다, 더럽히다"
external,[형] 외부의
herd,"[명] 떼, 무리[동] 떼를 짓다"
allocate,"[동] 할당하다, 배분하다"
gorgeous,"[형] 아주 멋진, 화려한"
confess,[동] 고백하다
subjective,[형] 주관적인
hell,[명] 지옥
acknowledge,[동] 인정하다
accord,"[동] 일치하다, 조화하다[명] 일치, 합의"
immense,[형] 엄청난
extract,"[동] 추출하다, [명] 추출물"
sewage,"[명] 하수, 오물"
reconciliation,[명] 화해
amid,[전] ~의 한가운데
warrant,"[명] 보증서, 영장, 정당한 이유"
complement,[동] 보완하다
ceramic,"[명] 도자기, 요업"
license,"[명] 면허, 인가[동] 면허를 주다, 허가하다"
emerge,[동] 나타나다
halt,"[동] 정지시키다[명] 정지, 멈춤"
ivory,"[명] 상아, 상아색"
ponder,"[동] 곰곰이 생각하다, 심사숙고하다"
lottery,"[명] 복권, 추첨"
stroke,"[명] 타격, 뇌졸증"
burglar,[명] 강도
blame,"[동] 비난하다, ~을 탓하다[명] 비난"
transplant,[동]  이식하다
cluster,[명] 무리
borrow,[동] 빌리다
derive,"[동] 끌어내다, ~에서 비롯되다"
plague,[명] 전염병[동] 괴롭히다
certificate,[명] 증명서
deluxe,[형] 호화로운
convey,"[동] 나르다,전달하다, (생각, 감정을) 전하다"
depth,[명] 깊이
evaporate,[동] 증발하다
lame,"[형] 절름발이의, 설득력이 없는"
conduct,"[동] 실시하다, 수행하다, 행동하다[명] 행위"
sour,[형] (맛이)신
repetitive,[형] 반복성의
oppress,n.억압하다
leftover,"[명] 남은 음식, 잔재"
embrace,"[동] 포옹하다, 껴안다, 수용하다"
blade,[명] 칼날
abundant,[형] 풍부한
duplicate,[형] 똑같은[동] 복사하다[명] 사본
remind,"[동] 상기시키다, 생각나게 하다"
altitude,[명] 고도
glimpse,[동] 흘끗 보다[명] 흘끗 봄
blend,[동] 섞다
swell,"[동] 부풀다,[명] 팽창"
grief,"[명] 비탄, 큰 슬픔"
beverage,[명] 음료수
warrior,"[명] 전사, 용사"
earn,"[동] (평판을) 얻다, 벌다"
slice,[명] (얇게 썬)조각[동] 얇게 썰다
exotic,[형] 이국적인
arrogant,"[형] 거만한, 건방진"
vanish,[동] 사라지다
rational,"[형] 이성적인, 합리적인"
predominant,"[형] 우세한, 두드러진"
cozy,"[형] 안락한, 아늑한"
broker,"[명] 중개인, 브로커[동] 중개하다"
auction,[명] 경매[동] 경매로 팔다
obsess,"v.사로잡다, 강박 관념을 갖다"
feed,"[동] ~에 밥을 주다, ~에 먹이를 주다"
outbreak,"[명] (전쟁, 사고등의) 발발"
invent,[동] 발명하다
pioneer,[명] 개척자[동] 개척하다
assert,[동] 주장하다
undo,"[동] (잠긴 것을) 풀다, 원상태로 돌리다"
bouquet,[명] 꽃다발
elaborate,[형] 정교한
toss,[동] 던지다[명] 던지기
retain,[동] 보유하다
radioactive,[형] 방사능의
buildup,[명] 축적
machinery,[명] 기계
passerby,[명] 통행인
auditorium,[명] 강당
lay,"[동] 놓다, (알을) 낳다"
neglect,[동] 무시하다[명] 소홀
feedback,[명] 피드백
promote,"[동] 증진하다, 승진시키다"
impair,[동] 손상시키다
metaphor,[명] 은유
dispense,"[동] 분배하다, 나누어 주다"
bruise,"[명] 멍, 타박상"
attorney,"[명] 변호사, 대리인"
framework,"[명] 뼈대, 틀, 체제"
heredity,[명] 유전
naive,[형] 순진한
shed,"[동] 떨구다, 흘리다"
metropolitan,[형] 대도시의
shield,[명] 방패[동] 보호하다
induce,"[동] 유도하다, 설득하여 ~시키다"
bazaar,"[명] 시장, 바자"
expel,[동] 추방하다
plow,[명] 쟁기[동] 갈다
prolong,[동] 연장하다
fluent,[형] 유창한
margin,[명] 가장자리
ecology,"[명] 생태학, 생태"
interior,[명] 내부[형] 내부의
ornament,[명] 장식[동] 장식하다
separate,[동] 분리하다
ripe,[형] 익은
vibrate,"[동] 진동하다, 흔들다"
urgent,[형] 긴급한
speculate,"[동] 사색하다 ,투기하다"
epidemic,[명] 전염병
precede,[동] ~에 앞서다
breathtaking,[형] 숨막히는
portfolio,[명] 포트폴리오
beware,[동] 주의하다
handcuff,[명] 수갑
overturn,[동] 전복시키다[명] 전복
pregnant,[형] 임신한
intelligence,[명] 지능
adapt,[동] 적응시키다
settle,[동] 정착하다
assassinate,[동] 암살하다
vapor,[명] 증기
tuition,[명] 수업료
literature,[명] 문학
loop,[명] 고리[동] 고리로 만들다
quote,[동] 인용하다[명] 인용구
inhale,"[동] 들이쉬다, 흡입하다"
prospect,"[명] 전망, 가능성"
anchor,"[명] 닻,앵커"
reference,"[명] 참고, 언급"
compound,[동] 혼합하다[명] 혼합물[형] 합성의
withstand,"[동] 견디다, 버티다"
implement,[동] 실행하다[명] 도구
anonymous,[형] 익명의
collide,"[동] 충돌하다, 일치하지 않다"
memorial,[명] 기념물
vacant,"[형] 비어 있는, 빈자리의"
technical,[형] 기술의
summon,[동] 소환하다
orchard,[명] 과수원
proportion,"[명] 비율, 부분"
antibiotic,[명] 항생 물질
overtake,[동] 따라잡다
resemble,[동] ~와 닮다
wander,"[동] (정처없이) 돌아다니다, 헤매다"
compassion,[명] 동정
preoccupation,"[명] 몰두, 집착"
paste,[동] 풀로 붙이다[명] 풀
provoke,"[동] 선동하다, 자극하다"
wicked,"[형] 사악한, 심술궂은"
sprain,[동] 발목을 삐다
consistent,[형] 일관된
disrupt,[동] 붕과시키다
solitary,"[형] 혼자의, 고립된"
bury,[동] (땅에)묻다
rust,"[명] 녹[동] 녹이 슬다, 부식하다"
discuss,[동] 토론하다
referee,[명] 심판
sector,"[명] 분야, 지역"
boost,[동] 밀어올리다[명] 상승
gymnastics,[명] 체조
gross,[형] 총합의[명] 총합
last,"[형] 마지막, 지난"
tariff,"[명] 관세, 운임표"
beloved,"[형] 총애받는, 사랑하는"
lyric,[명] 가사
yeast,"[명] 이스트, 효모"
skyscraper,[명] 고층건물
inquire,[동] 묻다
spade,"[명] 삽, 스페이드"
vacuum,"[명] 진공, 공백"
migrate,"[동] 이주하다, 이동하다"
spectacle,"[명] 구경거리, 장관"
surplus,"[명] 여분, 나머지
[형] 나머지의"
simulate,"[동] 흉내내다, ~의 모의 실험을 하다"
integration,[명] 통합
hypothesis,"[명] 가설, 가정"
affirm,[동] 단언하다
fortress,[명] 요새
cue,"[명] 신호, 단서
[동] 신호를 주다"
mole,"[명] 반점, 두더지"
divide,[동] 나누다
inborn,타고난
